,Film,Director,Cast
118,Toni Erdmann,Maren Ade,Alexandru Papadopol:Anna Maria Bergold:Hadewych Minis:Ingrid Bisu:Ingrid Burkhard:Ioan Brancu:Jürg Löw:Lucy Russell:Manuela Ciucur:Michael Wittenborn:Nicolas Wackerbarth:Niels Bormann:Peter Simonischek:Radu Banzaru:Ruth Reinecke:Sandra Hüller:Thomas Loibl:Trystan Pütter:Victoria Cocias:Victoria Malektorovych:Vlad Ivanov
119,Yi Yi,Edward Yang,Adriene Lin:An-an Hsu:Chuan-cheng Tao:Elaine Jin:Hsi-Sheng Chen:Hsin-Yi Tseng:Issei Ogata:Jonathan Chang:Kelly Lee:Pang Chang Yu:Ru-Yun Tang:Shu-shen Hsiao:Shu-Yuan Hsu:Su-Yun Ko:Yiwen Chen:Yung-Feng Lee
120,McCabe & Mrs. Miller,Robert Altman,Antony Holland:Hugh Millais:Jace Van Der Veen:Jackie Crossland:Manfred Schulz
121,The Best Years of Our Lives,null,null
122,Stagecoach,John Ford,Chief John Big Tree:Dorothy Appleby:Frank Baker:Ted Billings:Tom Tyler
123,Inside Llewyn Davis,null,null
124,Sherpa,Jennifer Peedom,null
125,There Will Be Blood,Paul Thomas Anderson,Barry Del Sherman:Coco Leigh:Dillon Freasier:Erica Sullivan:Harrison Taylor:Jacob Stringer:Jim Meskimen:Joseph Mussey:Kevin Breznahan:Martin Stringer:Matthew Braden Stringer:Paul F. Tompkins:Randall Carver:Stockton Taylor
126,Badlands,null,null
127,The Last Picture Show,Peter Bogdanovich,Barc Doyle:Bill Thurman:Jessie Lee Fulton:Joe Heathcock:Randy Quaid
128,Do the Right Thing,Spike Lee,Bill Nunn:Frankie Faison:Giancarlo Esposito:John Savage:John Turturro:Joie Lee:Miguel Sandoval:Paul Benjamin:Richard Edson:Rick Aiello:Robin Harris:Spike Lee
129,Sita Sings the Blues,null,null
130,The Decline of Western Civilization,Penelope Spheeris,Bill Gazzarri:Fear:Frank Gargani:John Doe:Lorna Doom
131,Rio Bravo,Howard Hawks,Frank Balderrama:Fred Aldrich:Harry Carey Jr.:Malcolm Atterbury:Sheb Wooley
132,Brother's Keeper,Bruce Sinofsky Joe Berlinger,Connie Chung:Donald F. Cerio:John W. Graham:Maynard A. Cosnett:Robert J. Killough
133,Crumb,Terry Zwigoff,Aline Kominsky:Beatrice Crumb:Bill Griffith:Charles Crumb:Dana Morgan:Deirdre English:Don Donahue:Kathy Goodell:Martin Müller:Maxon Crumb:Peggy Orenstein:Robert Hughes:Spain Rodriguez:Trina Robbins
134,Spotlight,Thomas McCarthy,Billy Crudup:Brian d'Arcy James:Christopher Gallagher:Dallas Peplow:Doug Murray:Duane Murray:Elena Juatco:Elena Wohl:Faith Fay:Gary Galone:Gene Amoroso:Jamey Sheridan:John Slattery:Lana Antonova:Len Cariou:Liev Schreiber:London Hall:Mark Ruffalo:Michael Cyril Creighton:Michael Keaton:Neal Huff:Paul Guilfoyle:Rachel McAdams:Rob deLeeuw:Robert B. Kennedy:Sharon McFarlane:Shawn Contois:Stanley Tucci:Stefanie Drummond:Zarrin Darnell-Martin
135,The Band Wagon,Vincente Minnelli,Barbara Bailey:Brandon Beach:Ernest Anderson:Lysa Baugher:Patsy Bangs
136,One More Time with Feeling,Andrew Dominik,Nick Cave:Nick Cave & the Bad Seeds:Nick Cave & The Bad Seeds:Warren Ellis
137,The Diving Bell and the Butterfly,Julian Schnabel,Anne Consigny:Fiorella Campanella:Gérard Watkins:Isaach De Bankolé:Jean-Pierre Cassel:Marina Hands:Max von Sydow:Niels Arestrup:Olatz López Garmendia:Patrick Chesnais:Talina Boyaci:Théo Sampaio
138,Invasion of the Body Snatchers,null,null
139,The Class,null,null
140,Platoon,Oliver Stone,Bob Orwig:Chris Pedersen:Corey Glover:Corkey Ford:David Neidorf:Forest Whitaker:Francesco Quinn:John C. McGinley:Johnny Depp:Keith David:Kevin Dillon:Mark Moses:Reggie Johnson
141,35 Shots of Rum,Claire Denis,Adèle Ado:Alex Descas:Cheikh Toure:David Saada:Djédjé Apali:Eriq Ebouaney:Grégoire Colin:Ingrid Caven:Jean-Christophe Folly:Julieth Mars Toussaint:Mario Canonge:Mary Pie:Mati Diop:Nicole Dogue:Stéphane Pocrain
142,Apocalypse Now: Final Cut,Francis Ford Coppola,null
143,Chinatown,Roman Polanski,Bruce Glover:Darrell Zwerling:Diane Ladd:James Hong:James O'Rear:Joe Mantell:John Hillerman:Nandu Hinds:Perry Lopez:Richard Bakalyan:Roman Polanski:Roy Jenson
144,The Florida Project,Sean Baker,Bria Vinaite:Bronwyn Valley:Brooklynn Prince:Caleb Landry Jones:Carl Bradfield:Christopher Rivera:Gary B. Gross:Jason Blackwater:Jim Coleman:Jim R. Coleman:Karren Karagulian:Kelly Fitzgerald:Krystal Nicole Watts:Macon Blair:Mela Murder:Rosa Medina Perez:Sabina Friedman-Seitz:Sandy Kane:Valeria Cotto:Willem Dafoe
145,Timbuktu,Abderrahmane Sissako,Abel Jafri:Adel Mahmoud Cherif:Cheik A.G. Emakni:Fatoumata Diawara:Hichem Yacoubi:Ibrahim Ahmed:Kettly Noël:Layla Walet Mohamed:Mamby Kamissoko:Mehdi A.G. Mohamed:Pino Desperado:Salem Dendou:Toulou Kiki:Weli Cleib:Yoro Diakité:Zikra Oualet Moussa
146,Frenzy,Alfred Hitchcock,Elsie Randolph:Gerald Sim:Jean Marsh:John Boxer:Madge Ryan
147,Brief Encounter,David Lean,Noel Coward:Nuna Davey:Sydney Bromley:Valentine Dyall:Wallace Bosco
148,Cool Hand Luke,Stuart Rosenberg,Dennis Hopper:Marc Cavell:Richard Davalos:Robert Donner:Warren Finnerty
149,Little Women,Gillian Armstrong,Christian Bale:Corrie Clark:Eric Stoltz:Florence Patterson:Gabriel Byrne:John Neville:Mary Wickes:Rebecca Toolan:Robin Collins:Samantha Mathis:Trini Alvarado
150,Maborosi,Hirokazu Koreeda,Akira Emoto:Gohki Kashiyama:Hidekazu Akai:Hiromi Ichida:Kikuko Hashimoto:Makiko Esumi:Midori Kiuchi:Minori Terada:Mutsuko Sakura:Naomi Watanabe:Ren Ôsugi:Shuichi Harada:Tadanobu Asano:Takashi Inoue:Takashi Naitô
151,Top Hat,Mark Sandrich,Gino Corrado:Lorinne Crawford:Phyllis Coghlan:Roy Brent:Tom Costello
152,Apocalypse Now Redux,Francis Ford Coppola,Albert Hall:Bo Byers:Dennis Hopper:Frederic Forrest:G.D. Spradlin:Harrison Ford:James Keane:Jerry Ziesmer:Kerry Rossall:Laurence Fishburne:Robert Duvall:Sam Bottoms:Scott Glenn
153,Annie Hall,Woody Allen,Carol Kane:Christopher Walken:Colleen Dewhurst:Donald Symington:Helen Ludlam:Janet Margolin:Joan Neuman:Jonathan Munk:Mordecai Lawner:Paul Simon:Ruth Volner:Shelley Duvall:Tony Roberts
154,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Alan Howard:Billy Boyd:Cate Blanchett:Christopher Lee:Ian Holm:Ian McKellen:Lawrence Makoare:Mark Ferguson:Marton Csokas:Megan Edwards:Michael Elsworth:Noel Appleby:Orlando Bloom:Sala Baker:Sean Astin:Sean Bean
155,Quiz Show,Robert Redford,Allan Rich:Christopher McDonald:David Paymer:Elizabeth Wilson:George Martin:Griffin Dunne:Hank Azaria:Johann Carlo:Michael Mantell:Mira Sorvino:Paul Guilfoyle:Paul Scofield:Rob Morrow
156,Leviathan,Andrei Zvyagintsev,Aleksey Pavlov:Aleksey Rozin:Aleksey Serebryakov:Alim Bidnenko:Alla Emintseva:Andrey Belozerov:Anna Ukolova:Dmitriy Bykovskiy-Romashov:Elena Lyadova:Evgeniy Yakunin:Igor Litovkin:Igor Savochkin:Igor Sergeev:Irina Graba:Irina Ryndina:Irina Vilkova:Kristina Pakarina:Lesya Kudryashova:Natasha Garustovich:Olga Lapshina:Platon Kamenev:Roman Madyanov:Sergei Borisov:Sergey Bachurskiy:Sergey Pokhodaev:Valeriy Grishko:Vladimir Lupanov:Vladimir Vdovichenkov:Vyacheslav Gonchar:Yelena Lyadova
157,Werckmeister Harmonies,null,null
158,Toy Story 3,Lee Unkrich,Blake Clark:Don Rickles:Emily Hahn:Estelle Harris:Joan Cusack:Jodi Benson:John Morris:John Ratzenberger:Laurie Metcalf:Michael Keaton:Ned Beatty:Teddy Newton:Wallace Shawn
159,This Is Spinal Tap,Rob Reiner,Bruno Kirby:Chazz Dominguez:Danny Kortchmar:David Kaff:Ed Begley Jr.:Harry Shearer:Jean Cromie:Kimberly Stringer:Patrick Maher:R.J. Parnell:Shari Hall:Tony Hendra
160,The Look of Silence,Joshua Oppenheimer,null
161,Tower,Keith Maitland,Aldo Ordoñez:Blair Jackson:Chris Doubek:Cole Bee Wilson:Cole Bresnehen:Jeremy Brown:John Fitch:Josephine McAdam:Karen Davidson:Louie Arnette:Monty Muir:Reece Everett Ryan:Séamus Bolivar-Ochoa:Timothy Lucas:Vicky Illk:Violett Beane
162,The Rider,Chloé Zhao,Alan Reddy:Allen Reddy:Brady Jandreau:Cat Clifford:Derrick Janis:James Calhoon:Jordon Slick Phelps:Kevin Hunter:Lane Scott:Leroy Pourier:Lilly Jandreau:Marshal Byrne:Steven DeWolfe:Tanner Langdeau:Terri Dawn Pourier:Tim Jandreau
163,Moolaadé,Ousmane Sembene,Aminata Dao:Bakaramoto Sanogo:Balla Habib Dembélé:Cheick Oumar Maiga:Dominique Zeïda:Fatoumata Coulibaly:Gustave Sorgho:Joseph Traoré:Mah Compaoré:Maimouna Hélène Diarra:Modibo Sangaré:Ousmane Konaté:Rasmane Ouedraogo:Salimata Traoré:Théophile Sowié
164,Atanarjuat: The Fast Runner,Zacharias Kunuk,Abraham Ulayuruluk:Alex Uttak:Apayata Kotierk:Eric Nutarariaq:Eugene Ipkarnak:Lucy Tulugarjuk:Luke Taqqaugaq:Madeline Ivalu:Mary Qulitalik:Neeve Irngaut:Pakak Innuksuk:Pauloosie Qulitalik:Peter-Henry Arnatsiaq
165,Time,Garrett Bradley,null
166,Gavagai,Rob Tregenza,Amel Ibisevic:Ask Aygin Gaup:Edith Søli:Einar Andreas Søli:Essra Berge:Halvor Sandnes:Hellek Sandnes:Ina Nena Schick:Joakim Nango:Jostein A.B. Sandvik:Karin Mustvedt-Plüs:Kim Robin Svartdal:Marie Helga Helgetveit:Marja Susanne Sipelä Solvang:Miriam Berge:Mona Eiris:Rune Samuelsen:Susan S. Solvang:Thomas Tufte:Tore Dale
167,The Man Who Would Be King,John Huston,Graham Acres:Nadia Atbib:Shakira Caine:The Blue Dancers of Goulamine:Yvonne Ocampo
168,The Killing,Stanley Kubrick,Dorothy Adams:Herbert Ellis:Jay Adler:Kola Kwariani:Tito Vuolo
169,Swing Time,George Stevens,Bill Brande:Jack Chefe:Martin Cichy:Ralph Brooks:Ralph Byrd
170,Breaking Away,Peter Yates,Amy Wright:Barbara Barrie:Daniel Stern:David K. Blase:Hart Bochner:Jackie Earle Haley:Jennifer K. Mickel:John Ashton:Lisa Shure:P.J. Soles:Paul Dooley:Peter Maloney:Robyn Douglass
171,The Souvenir,Joanna Hogg,Alice McMillan:Barbara Peirson:Chyna Terrelonge-Vaughan:Crispin Buxton:Dick Fontaine:Fabrizio Matteini:Hannah Ashby Ward:Jack W. Gregory:Jake Phillips Head:James Barrett:James Dodds:James Spencer Ashworth:Janet Etuk:Jaz Dalrymple:Leonardo Bozzo:Richard Tree:Steve Gough
172,After Life,Hirokazu Koreeda,Arata:Erika Oda:Hisako Hara:Kazuko Shirakawa:Kei Tani:Kôtarô Shiga:Kyôko Kagawa:Natsuo Ishidô:Sadao Abe:Sayaka Yoshino:Susumu Terajima:Takashi Naitô:Taketoshi Naitô:Tôru Yuri:Yûsuke Iseya
173,Son of Saul,László Nemes,Amitai Kedar:Attila Fritz:Balázs Farkas:Björn Freiberg:Christian Harting:Eszter Csépai:Gergö Farkas:Géza Röhrig:Jerzy Walczak:Juli Jakab:Kamil Dobrowolski:Levente Molnár:Levente Orbán:Marcin Czarnik:Mendy Cahan:Mihály Kormos:Sándor Zsótér:Todd Charmont:Urs Rechn:Uwe Lauer
174,Love Affair,Leo McCarey,Bess Flowers:Carol Hughes:Dell Henderson:Joe Gilbert:Leyland Hodgson
175,Frankenstein,James Whale,Arletta Duncan:Francis Ford:Jack Curtis:Mae Bruce:William Dyer
176,8½,Federico Fellini,Bruno Agostini:Cesarino Miceli Picardi:Jean Rougeul:Mario Conocchia:Mario Pisu
177,E.T. The Extra-Terrestrial,Steven Spielberg,C. Thomas Howell:David Berkson:David M. O'Dell:Dee Wallace:Erika Eleniak:Frank Toth:K.C. Martel:Michael Darrell:Richard Swingler:Robert Barton:Robert MacNaughton:Sean Frye
178,The African Queen,John Huston,John von Kotze
179,The Triplets of Belleville,Sylvain Chomet,Béatrice Bonifassi:Charles Linton:Lina Boudreau:Mari-Lou Gauthier
180,The Queen,Stephen Frears,Alex Jennings:Amanda Hadingue:Dolina MacLennan:Douglas Reith:Gray O'Brien:John McGlynn:Joyce Henderson:Lola Peploe:Pat Laffan:Robin Soans:Roger Allam:Sylvia Syms:Tim McMullan
181,All Quiet on the Western Front,Lewis Milestone,Beryl Mercer:G. Pat Collins:Harold Goodwin:Richard Alexander:Slim Summerville
182,A Bread Factory Part Two: Walk With Me a While,Patrick Wang,Daniel Borak:Eugene Brell:George Young:Jacqui Anders:Jake Brinskele:Keaton Nigel Cooke:Leo Heller:Logan Smith:Martina Arroyo:Noah Matthews
183,Never Rarely Sometimes Always,null,null
184,The Ladykillers,null,null
185,Young Mr. Lincoln,John Ford,Clarence Wilson:Eddy Waller:Spencer Charters:Tiny Jones:Ward Bond
186,Stories We Tell,Sarah Polley,Alex Hatz:Andrew Church:Cathy Gulkin:Deirdre Bowen:Geoffrey Bowes:Harry Gulkin:John Buchan:Justin Goodhand:Peter Evans:Pixie Bigelow:Rebecca Jenkins:Robert Macmillan:Susy Buchan:Tom Butler:Victoria Mitchell:Wayne Curnew
187,A Bread Factory Part One: For the Sake of Gold,Patrick Wang,Aidan Pierce Brennan:Alyssa Maria App:Chris Conroy:Eugene Brell:George Young:Martina Arroyo:Noah Averbach-Katz:Noel Ramos:Rosemary Howard
188,The Act of Killing,Anonymous Christine Cynn Joshua Oppenheimer,Adi Zulkadry:Anwar Congo:Anwars Congo:Haji Anif:Haji Marzuki:Herman Koto:Ibrahim Sinik:Jusuf Kalla:Safit Pardede:Sakhyan Asmara:Soaduon Siregar:Syamsul Arifin:Yapto Soerjosoemarno
189,"This Is Not a Burial, It's a Resurrection",Lemohang Jeremiah Mosese,null
190,On the Waterfront,Elia Kazan,Abe Simon:Arthur Keegan:Don Blackman:James Westerfield:John F. Hamilton:John Heldabrand:Lee J. Cobb:Leif Erickson:Pat Henning:Rod Steiger:Rudy Bond:Tami Mauriello:Tony Galento
191,Jafar Panahi's Taxi,Jafar Panahi,Jafar Panahi
192,Ida,Pawel Pawlikowski,Adam Szyszkowski:Afrodyta Weselak:Agata Kulesza:Agata Trzebuchowska:Anna Grzeszczak:Artur Janusiak:Dawid Ogrodnik:Dorota Kuduk:Halina Skoczynska:Izabela Dabrowska:Jan Wociech Poradowski:Jerzy Trela:Joanna Kulig:Krzysztof Brzezinski:Lukasz Jerzykowski:Marek Kasprzyk:Mariusz Jakus:Natalia Lagiewczyk:Pawel Burczyk
193,Beau Travail,Claire Denis,Adiatou Massudi:Bernardo Montet:Dan Herzberg:Dimitri Tsiapkinis:Gianfranco Poddighe:Giuseppe Molino:Jean-Yves Vivet:Marc Veh:Mickael Ravovski:Nicolas Duvauchelle:Richard Courcet:Thong Duy Nguyen
194,Uncut Gems,null,null
195,Waltz with Bashir,Ari Folman,Dror Harazi:Gadi Erel:Mickey Leon:Ori Sivan:Shahar Sorek:Yehezkel Lazarov:Zahava Solomon
196,They Shall Not Grow Old,Peter Jackson,null
197,EX LIBRIS: The New York Public Library,Frederick Wiseman,null
198,Secrets & Lies,null,null
199,Patton,Franklin J. Schaffner,Albert Dumortier:Bill Hickman:Carey Loftin:David Bauer:Frank Latimore:James Edwards:John Barrie:Karl Michael Vogler:Lawrence Dobkin:Michael Strong:Morgan Paull:Pat Zurica:Stephen Young
200,The Favourite,Giorgos Lanthimos,Basil Eidenbenz:Carolyn Saint-Pé:Edward Aczel:Hannah Morley:Horatio:Isaura Barbé-Brown:Jack Veal:James Melville:James Smith:Jenny Rainsford:John Locke:Mark Gatiss:Tim Ingall:Timothy Innes:Willem Dalby:Wilson Radjou-Pujalte
201,The Sweet Hereafter,Atom Egoyan,Alberta Watson:Arsinée Khanjian:Bruce Greenwood:Caerthan Banks:David Hemblen:Earl Pastko:Gabrielle Rose:Kirsten Kieferle:Maury Chaykin:Sarah Rosen Fruitman:Simon Baker:Stephanie Morgenstern:Tom McCamus
202,The Right Stuff,Philip Kaufman,Charles Frank:Donald Moffat:Lance Henriksen:Levon Helm:Mary Jo Deschanel
203,Bambi,Bill Roberts David Hand Graham Heid James Algar Norman Wright Paul Satterfield Samuel Armstrong,Ann Gillis:Donnie Dunagan:Eddie Holden:Otis Harlan:Sam Edwards
204,Flee,Jonas Poher Rasmussen,null
205,Bringing Up Baby,Howard Hawks,Adeline Ashbury:Asta:John Kelly:Ruth Adler:Virginia Walker
206,No Country for Old Men,Ethan Coen Joel Coen,Ana Reeder:Barry Corbin:Beth Grant:Chip Love:Garret Dillahunt:Kelly Macdonald:Kit Gwin:Rodger Boyce:Stephen Root:Tess Harper:Woody Harrelson:Zach Hopkins
207,The Gatekeepers,null,null
208,Nostalgia for the Light,Patricio Guzmán,Gaspar Galaz:George Preston:Lautaro Núñez:Luís Henríquez:Miguel Lawner:Valentina Rodríguez:Vicky Saaveda:Víctor González:Violeta Berrios
209,David Copperfield,George Cukor,Elsa Lanchester:Fay Chaldecott:Jean Cadell:Lionel Barrymore:Una O'Connor:Violet Kemble Cooper
210,Saving Private Ryan,Steven Spielberg,Adam Goldberg:Barry Pepper:Dennis Farina:Dylan Bruno:Edward Burns:Giovanni Ribisi:Jeremy Davies:Joerg Stadler:Max Martini:Paul Giamatti:Ted Danson:Tom Sizemore:Vin Diesel
211,After Hours,null,null
212,Her,Spike Jonze,Alia Janine:Amy Adams:Artt Butler:Bill Hader:Brian Johnson:Caroline Jaden Stussi:Cassandra Starr:Chris Pratt:Claudia Choi:Eric Pumphrey:Evelyn Edwards:Gabe Gomez:Gracie Prewitt:Jeremy Rabb:Joaquin Phoenix:Katherine Boecher:Kelly Sarah:Kim Farris:Kristen Wiig:Laura Colquhoun:Laura Kai Chen:Laura Meadows:Lisa Renee Pitts:Luka Jones:Lynn A. Freedman:Matt Letscher:May Lindstrom:Melanie Seacat:Nico David:Nicole Grother:Olivia Wilde:Pamela Roylance:Portia Doubleday:Rachel Ann Mullins:Rooney Mara:Sam Jaeger:Samantha Morton:Samantha Sarakanti:Scarlett Johansson:Spike Jonze:Tiffany Pulvino
213,The Crying Game,Neil Jordan,Adrian Dunbar:Andrée Bernard:Birdy Sweeney:Breffni McKenna:Jack Carr:Jim Broadbent:Joe Savino:Josephine White:Miranda Richardson:Ralph Brown:Shar Campbell:Tony Slattery
214,Great Expectations,null,null
215,Burning,Chang-dong Lee,Bong-ryeon Lee:Ja-Yeon Ok:Joong-ok Lee:Seok-Chan Jeon:Wonhyeong Jang
216,Winter's Bone,Debra Granik,Ashlee Thompson:Beth Domann:Casey MacLaren:Cody Brown:Dale Dickey:Isaiah Stone:Kevin Breznahan:Lauren Sweetser:Shelley Waggener:Tate Taylor:Valerie Richards:William White
217,Hope,Maria Sødahl,Alexander Mørk Eidem:Ingrid Bugge:Johannes Joner:Kristin Voss Hestvold:Terje Auli
218,Gett: The Trial of Viviane Amsalem,Ronit Elkabetz Shlomi Elkabetz,Abraham Celektar:Albert Iluz:Dalia Beger:David Ohayon:Eli Gornstein:Evelin Hagoel:Gabi Amrani:Keren Mor:Menashe Noy:Rami Danon:Roberto Pollack:Ronit Elkabetz:Sasson Gabai:Shmil Ben Ari:Simon Abkarian
219,I Called Him Morgan,Kasper Collin,Al Harrison:Albert Tootie Heath:Bennie Maupin:Billy Harper:Charli Persip:Helen Morgan:Judith Johnson:Jymie Merritt:Larry Reni Thomas:Larry Ridley:Lee Morgan:Lena Sherrod:Paul West:Ron St. Clair:Wayne Shorter
220,Close Encounters of the Third Kind,Steven Spielberg,Adrienne Campbell:Bob Balaban:Cary Guffey:J. Patrick McNamara:Justin Dreyfuss:Lance Henriksen:Melinda Dillon:Merrill Connally:Philip Dodds:Roberts Blossom:Shawn Bishop:Warren J. Kemmerling
221,The Godfather: Part II,Francis Ford Coppola,Bruno Kirby:Francesca De Sapio:Frank Sivero:G.D. Spradlin:Gastone Moschin:John Cazale:Lee Strasberg:Michael V. Gazzo:Richard Bright:Talia Shire:Tom Rosqui
222,The Hustler,Robert Rossen,Alexander Rose:Carl York:Carolyn Coates:Gordon B. Clarke:Vincent Gardenia
223,L.A. Confidential,Curtis Hanson,Danny DeVito:David Strathairn:Elisabeth Granli:Graham Beckel:James Cromwell:Matt McCoy:Paolo Seganti:Paul Guilfoyle:Ron Rifkin:Sandra Taylor:Steve Rankin
224,Bloody Sunday,Paul Greengrass,Allan Gildea:Carmel McCallion:Christopher Villiers:Declan Duddy:Edel Frazer:Gerard Crossan:Gerry Hammond:James Hewitt:Jason Stammers:Joanne Lindsay:Mary Moulds:Mike Edwards
225,My Voyage to Italy,Martin Scorsese,null
226,Phantom Thread,Paul Thomas Anderson,Alexandra Moloney:Amber Brabant:Amy Cunningham:Andrew G. Ogleby:Calum Delaney:Camilla Rutherford:Caroline Garnell:Cedric Tylleman:Colin Wigglesworth:Cris Haris:Daniel Day-Lewis:Darren Talbot:Dave Simon:David Charles-Cully:Fraser Delaney:Geneva Corlett:Gino Picciano:Harriet Leitch:Ingrid Sophie Schram:Jane Perry:Jason Redshaw:Joseph Callaghan:Juliet Glaves:Kelly Schembri:Khristopher MacLeod:Lesley Manville:Lujza Richter:Martin Dew:Michael Gabbitas:Neil Broome:Niki Angus-Campbell:Paul Carolan:Pip Phillips:Rebecca McSwan:Richard Graham:Sarah Lamesch:Vicky Krieps
227,Goodfellas,null,null
228,Wojnarowicz,Chris McKim,null
229,Hamilton,Thomas Kail,Ariana DeBose:Carleigh Bettiol:Ephraim Sykes:Hope Easterbrook:Jon Rua:Neil Haskell:Phillipa Soo:Sasha Hutchings:Sydney James Harcourt:Thayne Jasperson
230,Paths of the Soul,Yang Zhang,null
231,It's Such a Beautiful Day,Don Hertzfeldt,Don Hertzfeldt
232,My Perestroika,Robin Hessman,null
233,This Is Not a Film,Jafar Panahi Mojtaba Mirtahmasb,Jafar Panahi
234,The Birds,null,null
235,To Have and Have Not,Howard Hawks,Aldo Nadi:Audrey Armstrong:Eugene Borden:Joy Barlow:Juliette Ball
236,Finding Nemo,Andrew Stanton Lee Unkrich,Allison Janney:Andrew Stanton:Austin Pendleton:Bob Peterson:Brad Garrett:Elizabeth Perkins:Geoffrey Rush:Joe Ranft:Nicholas Bird:Stephen Root:Vicki Lewis:Willem Dafoe
237,Topsy-Turvy,Mike Leigh,Adam Searle:Dexter Fletcher:Francis Lee:Geoffrey Hutchings:Kate Doherty:Lesley Manville:Martin Savage:Roger Heathcott:Stefan Bednarczyk:Sukie Smith:Timothy Spall:Wendy Nottingham:William Neenan
238,Samurai Rebellion,Masaki Kobayashi,Emi Yamada:Hideo Fukuhara:Jun Hamamura:Masao Mishima:Takamaru Sasaki
239,King Kong,Ernest B. Schoedsack Merian C. Cooper,Ed Allen:Etta Mae Allen:Frank Angel:James Adamson:Van Alder
240,Gunda,Victor Kossakovsky,null
241,The Incredibles,null,null
242,Before Sunset,Richard Linklater,Albert Delpy:Denis Evrard:Diabolo:Louise Lemoine Torres:Mariane Plasteig:Marie Pillet:Rodolphe Pauly:Vernon Dobtcheff
243,Being John Malkovich,Spike Jonze,Byrne Piven:Eric Weinstein:Judith Wetzell:K.K. Dodds:Kevin Carroll:Madison Lanc:Mary Kay Place:Ned Bellamy:Octavia Spencer:Orson Bean:Reginald C. Hayes
244,A Prophet,Jacques Audiard,Adel Bencherif:Antoine Basler:Foued Nassah:Frédéric Graziani:Gilles Cohen:Hichem Yacoubi:Jean-Emmanuel Pagni:Jean-Philippe Ricci:Leïla Bekhti:Niels Arestrup:Pierre Leccia:Rabah Loucif:Reda Kateb:Slimane Dazi
