,Film,Director,Cast
370,Three Colors: White,Krzysztof Kieslowski,Aleksander Bardini:Barbara Dziekan:Cezary Harasimowicz:Cezary Pazura:Francis Coffinet:Grzegorz Warchol:Janusz Gajos:Jerzy Nowak:Jerzy Stuhr:Jerzy Trela:Michel Lisowski:Philippe Morier-Genoud:Piotr Machalica
371,Chicken Run,Nick Park Peter Lord,Benjamin Whitrow:Imelda Staunton:Jane Horrocks:Jo Allen:John Sharian:Laura Strachan:Lisa Kay:Lynn Ferguson:Miranda Richardson:Penélope Cruz:Phil Daniels:Timothy Spall:Tony Haygarth
372,The King's Speech,Tom Hooper,Anthony Andrews:Calum Gittins:Derek Jacobi:Dominic Applewhite:Eve Best:Filippo Delaunay:Freya Wilson:Guy Pearce:Harry Sims:Jennifer Ehle:Max Callum:Michael Gambon:Tim Downie:Timothy Spall
373,Hell or High Water,David Mackenzie,Alma Sisneros:Amber Midthunder:Ben Foster:Buck Taylor:Chris Pine:Crystal Gonzales:Dale Dickey:Dylan Kenin:Gil Birmingham:Gregory Cruz:Howard Ferguson Jr.:J. Nathan Simmons:Jackamoe Buzzell:Jeff Bridges:Joe Berryman:John-Paul Howard:Katy Mixon:Keith Meriweather:Kevin Rankin:Kristin Berg:Lora Martinez-Cunningham:Marin Ireland:Melanie Papalia:Ricky Lee:Taylor Sheridan:William Sterchi
374,Up,Bob Peterson Pete Docter,Bob Peterson:Christopher Plummer:Danny Mann:David Kaye:Delroy Lindo:Donald Fullilove:Elie Docter:Jeremy Leary:Jerome Ranft:Jess Harnell:Josh Cooley:Mickie McGowan
375,Shirkers,null,null
376,Mildred Pierce,Michael Curtiz,Betty Alexander:Bill Alcorn:George Anderson:James Anderson:Ramsay Ames
377,45365,Bill Ross IV Turner Ross,null
378,Tootsie,Sydney Pollack,Bill Murray:Charles Durning:Dabney Coleman:Debra Mooney:Doris Belack:Ellen Foley:Geena Davis:George Gaynes:Jessica Lange:Lynne Thigpen:Peter Gatto:Ronald L. Schwary:Sydney Pollack:Teri Garr
379,Marooned in Iraq,Bahman Ghobadi,Allah-Morad Rashtian:Bahram Sarbazi:Faegh Mohamadi:Fathollah Sa'edi:Hossein Rashid-Ghamat:Iran Ghobadi:Mariam Pouyani:Rojan Hosseini:Saeed Mohammadi:Shahab Ebrahimi
380,To Kill a Mockingbird,Robert Mulligan,Alice Ghostley:Brock Peters:Collin Wilcox Paxton:Crahan Denton:Estelle Evans:Frank Overton:James Anderson:John Megna:Paul Fix:Richard Hale:Robert Duvall:Rosemary Murphy:Ruth White:William Windom
381,Aquarius,null,null
382,"So Long, My Son",Xiaoshuai Wang,null
383,The Killing of Two Lovers,null,null
384,Apollo 11,Todd Douglas Miller,Bruce McCandless II:Charles Duke:Gene Kranz:Glynn Lunney:Jim Lovell:Lyndon Johnson
385,Anomalisa,Charlie Kaufman Duke Johnson,David Thewlis:Jennifer Jason Leigh:Tom Noonan
386,Toy Story 2,Ash Brannon John Lasseter Lee Unkrich,Annie Potts:Don Rickles:Estelle Harris:Jim Varney:Joan Cusack:Jodi Benson:Joe Ranft:John Morris:John Ratzenberger:Kelsey Grammer:Laurie Metcalf:Wallace Shawn:Wayne Knight
387,Black Panther,Ryan Coogler,Andy Serkis:Angela Bassett:Atandwa Kani:Bambadjan Bamba:Cecil M. Henry:Chadwick Boseman:Danai Gurira:Daniel Kaluuya:David S. Lee:Florence Kasumba:Forest Whitaker:Isaach De Bankolé:Jeremy Sample:John Kani:Letitia Wright:Lupita Nyong'o:Martin Freeman:Michael B. Jordan:Michael David Yuhl:Phylicia Rashad:Sebastian Stan:Stan Lee:Sterling K. Brown:Sydelle Noel:Winston Duke
388,Brooklyn,John Crowley,Aine Ni Mhuiri:Alisha Heng:Alisha Reis:Barbara Drennan:Brid Brennan:Domhnall Gleeson:Eileen O'Higgins:Emily Bett Rickards:Emma Lowe:Emory Cohen:Eva Birthistle:Eve Macklin:Fiona Glascott:Gillian McCarthy:Hugh Gormley:James Corscadden:Jane Brennan:Jenn Murray:Jim Broadbent:Julie Walters:Karen Belfo:Maeve McGrath:Mary O'Driscoll:Matt Glynn:Michael Zegen:Nora-Jane Noone:Paulino Nuñes:Peter Campion:Saoirse Ronan
389,Nobody Knows,null,null
390,Life Is Sweet,Mike Leigh,Claire Skinner:David Neilson:David Thewlis:Harriet Thorpe:Jack Thorpe-Baker:Jane Horrocks:Moya Brady:Paul Trussel:Stephen Rea:Timothy Spall
391,Faces,null,null
392,Mary Poppins,null,null
393,The Lord of the Rings: The Two Towers,null,null
394,L'Enfant (The Child),Jean-Pierre Dardenne Luc Dardenne,Anne Gerard:Bernard Marbaix:Delphine Tomson:Fabrizio Rongione:François Olivier:Frédéric Bodson:Jean-Claude Boniverd:Jérémie Segard:Leon Michaux:Marie-Rose Roland:Olivier Gourmet:Samuel De Ryck:Stéphane Marsin
395,Sweet Country,Warwick Thornton,Sam Neill:Sotiris Tzelios:Thomas M. Wright
396,Jane Fonda in Five Acts,null,null
397,Newtown,Kim A. Snyder,null
398,Poetry,Chang-dong Lee,Da-wit Lee:Hira Kim:Jeong-hie Yun:Nae-sang Ahn:Yong-taek Kim
399,Restless Creature: Wendy Whelan,Adam Schlesinger Linda Saffire,Wendy Whelan
400,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,Akira Ito:Amy Ryan:And Palladino:Andrea Riseborough:Anna Hardwick:Benjamin Kanes:Bill Camp:Bomber Hurley-Smith:Carrie Ormond:Clark Middleton:Damian Young:David Fierro:David Itchkawitz:Dusan Dukic:Edward Norton:Emma Stone:Jamahl Garrison-Lowe:Jeremy Shamos:Joel Garland:Katherine O'Sullivan:Keenan Shimizu:Kelli Wilcoxen:Kelly Southerland:Kenny Chin:Lindsay Duncan:Marian Volk:Merritt Wever:Michael Keaton:Naomi Watts:Natalie Gold:Paula Blum:Raymond Mamrak:Stefanie Bari:Stefano Villabona:Teena Byrd:Zach Galifianakis
401,Shakespeare in Love,John Madden,Antony Sher:Bridget McConnell:Georgie Glen:Judi Dench:Martin Clunes:Nicholas Boulton:Patrick Barlow:Sandra Reinton:Simon Callow:Steven Beard:Steven O'Donnell:Tim McMullan:Tom Wilkinson
402,The Awful Truth,Leo McCarey,Al Bridge:Claud Allister:Mary Forbes:Ruth Cherrington:Wyn Cahoon
403,Can You Ever Forgive Me?,Marielle Heller,Alice Kremelberg:Anna Deavere Smith:Anne Hollister:Ben Rauch:Brandon Scott Jones:Dolly Wells:Joanna Adler:Kevin Carolan:Marc Evan Jackson:Marcus Choi:Mary B. McCann:Michael Cyril Creighton:Michael Laurence:Moisés Acevedo:Rosal Colon:Shae D'Lyn:Stephen Spinella:Tiffany Blair
404,Wolfwalkers,null,null
405,It Happened One Night,Frank Capra,Harry C. Bradley:Irving Bacon:Jessie Arnold:Ward Bond:William Bailey
406,The Body Remembers When the World Broke Open,Elle-Máijá Tailfeathers Kathleen Hepburn,Anesha Bailey:Charles Jarman:Glenn Cho:Joan Boisjoly:Paul Jarrett
407,The Missing Picture,Rithy Panh,Randal Douc
408,"I Travel Because I Have to, I Come Back Because I Love You",Karim Ainouz Marcelo Gomes,Irandhir Santos
409,The Invisible Man,James Whale,Donald Stuart:Merle Tottenham:Robert Adair:Ted Billings:Walter Brennan
410,Scarface,Howard Hawks Richard Rosson,Edwin Maxwell:Eugenie Besserer:Gus Arnheim:Henry Armetta:Inez Palange
411,Of Men and War,Laurent Bécue-Renard,null
412,The Long Goodbye,Robert Altman,Enrique Lucero:Jack Knight:Pancho Córdova:Pepe Callahan:Vincent Palmieri
413,Imitation of Life,Douglas Sirk,Ann Robinson:David Tomack:Lee Goodman:Sandra Gould:Troy Donahue
414,Pain and Glory,Pedro Almodóvar,Agustín Almodóvar:Alba García:César Vicente:Eva Martín:Julián López:Pedro Casablanc:Raúl Arévalo:Sara Sierra:Susi Sánchez
415,Genèse (Genesis),Philippe Lesage,Ariane L'Heureux:Guillaume Laurin:Jean-Simon Leduc:Mylène Mackay:Noémi Lira:Tayna V. Lavoie
416,The Farthest,Emer Reynolds,Frank Locatell:Heidi Hammel:James F. Bell:Jon Lomberg:Suzanne Dodd
417,Gomorrah,Matteo Garrone,Angelo Aliberti:Antonio Aiello:Antonio Amato:Carmine Paternoster:Ciro Petrone:Denis Bajrami:Dora Angelone:Gigio Morra:Marco Macor:Maria Nazionale:Salvatore Cantalupo:Vincenzo Altamura
418,To Be and to Have,Nicolas Philibert,Alizé:Axel:Franck:Georges Lopez:Guillaume:Jessie:Johan:Johann:Jonathan:Julien:Laura:Létitia:Marie-Elizabeth:Nathalie:Olivier
419,Halloween,John Carpenter,Adam Hollander:Arthur Malet:Brent Le Page:Brian Andrews:Charles Cyphers:John Michael Graham:Kyle Richards:Mickey Yablans:Nancy Kyes:Nancy Stephens:P.J. Soles:Robert Phalen
420,Eraserhead,David Lynch,Darwin Joston:Hal Landon Jr.:Jennifer Chambers Lynch:John Monez:T. Max Graham
421,Medium Cool,Haskell Wexler,Beverly Younger:Doug Kimball:Edward Croke:Marrian Walters:Peter Boyle
422,Fire at Sea,Gianfranco Rosi,Francesco Mannino:Francesco Paterna:Giuseppe Fragapane:Maria Costa:Maria Signorello:Mattias Cucina:Pietro Bartolo:Samuele Caruana:Samuele Pucillo
423,The Fugitive,Andrew Davis,Andreas Katsulas:Daniel Roebuck:Jeroen Krabbé:Joe Pantoliano:John Drummond:Joseph F. Kosala:Julianne Moore:L. Scott Caldwell:Miguel Nino:Ron Dean:Sela Ward:Tom Wood:Tony Fosco
424,F for Fake,François Reichenbach Gary Graver Oja Kodar Orson Welles,Alexander Welles:Gary Graver:Howard Hughes:Joseph Cotten:Richard Drewett
425,About Elly (2009),Asghar Farhadi,Ahmad Mehranfar:Golshifteh Farahani:Mani Haghighi:Marila Zare'i:Peyman Moaadi:Ra'na Azadivar:Saber Abbar:Shahab Hosseini:Taraneh Alidoosti
426,The Bridge on the River Kwai,David Lean,Ann Sears:Harold Goodwin:Heihachirô Ôkawa:Keiichirô Katsumoto:M.R.B. Chakrabandhu
427,Goldfinger,Guy Hamilton,Austin Willis:Bernard Lee:Bill Nagy:Cec Linder:Harold Sakata:Lois Maxwell:Martin Benson:Michael Mellinger:Nadja Regin:Peter Cranwell:Shirley Eaton:Tania Mallet
428,Ma Rainey's Black Bottom,George C. Wolfe,Antonio Fierro:Brent Feitl:Gregory Bromfield:James Ciesielski:Jordan Rhone:Phil Nardozzi:Tony Amen
429,One False Move,Carl Franklin,Cynda Williams:Derrick Williams:Earl Billings:Jim Metzler:Jimmy Bridges:Kevin Hunter:Meredith 'Jeta' Donovan:Michael Beach:Natalie Canerday:Phyllis Kirklin:Phyllis Sutton:Robert Anthony Bell:Robert Ginnaven
430,En el Séptimo Día (On the Seventh Day),Jim McKay,Alex Halpern:Christopher Gabriel Núñez:Delfino Solis:Donal Brophy:Ernesto Lucero
431,Jane,Brett Morgen,null
432,Jaws,null,null
433,We Are the Best!,Lukas Moodysson,Alexander Karlsson:Alvin Strollo:Ann-Sofie Rase:Anna Rydgren:Berndt:Charlie Falk:Clara Christiansson:David Dencik:Emrik Ekholm:Henrik Dahl:Johan Liljemark:Jonathan Salomonsson:Lena Carlsson:Lena Nylén:Lily Moodysson:Liv LeMoyne:Mads Korsgaard:Mattias Wiberg:Mira Barkhammar:Mira Grosin:Per Fenger-Krog:Peter Eriksson:Serina Bj:Sofi Ahlström Helleday:Steve Kratz:Vanja Engstr:Viveca Dahlén:Ylva Olaison
434,Spartacus,null,null
435,Small Axe: Education,Steve McQueen,Conor Lowson:Eddie-Joe Robinson:Jaden Oshenye:Nathan Vidal:Robert Godley-Harrod
436,About Endlessness,null,null
437,Back to the Future,Robert Zemeckis,"Billy Zane:Casey Siemaszko:Claudia Wells:Crispin Glover:Frances Lee McCain:George DiCenzo:Harry Waters, Jr.:J.J. Cohen:James Tolkan:Lea Thompson:Marc McClure:Thomas F. Wilson:Wendie Jo Sperber"
438,If Beale Street Could Talk,Barry Jenkins,Aunjanue Ellis:Brian Tyree Henry:Colman Domingo:Doris McCarthy:Ed Skrein:Emily Rios:Faith Logan:Finn Wittrock:Marcia Jean Kurtz:Pedro Pascal:Stephan James:Teyonah Parris
439,My Journey Through French Cinema,Bertrand Tavernier,Antoine Duhamel:Bertrand Tavernier:Claude Chabrol:Eddie Constantine:Françoise Giroud:Georges de Beauregard:Jacques Becker:Jean Gabin:Jean-Luc Godard:Jean-Paul Belmondo:Jean-Paul Gaultier:Marcel Carné:Michel Deville:Raoul Coutard:Thierry Frémaux
440,Wallace & Gromit: The Curse of the Were-Rabbit,Nick Park Steve Box,Dicken Ashworth:Edward Kelsey:Geraldine McEwan:John Thomson:Liz Smith:Mark Gatiss:Nicholas Smith:Noni Lewis:Pete Atkin:Peter Kay:Robert Horvath:Vincent Ebrahim
441,The Diary of a Teenage Girl,Marielle Heller,Abby Wait:Alexander Skarsgård:Austin Lyon:Bel Powley:Carson Mell:Charles Lewis III:Christopher Meloni:David Fine:Davy Clements:Domino The Cat:Drew Benda:Giovanni Miller:John Parsons:Kristen Wiig:Madeleine Waters:Margarita Levieva:Miranda Bailey:Natalie Stephany Aguilar:Quinn Nagle:Samantha Hyde:Susannah Schulman
442,Elena,Andrei Zvyagintsev,null
443,All Is Lost,J.C. Chandor,Robert Redford
444,Hereditary,Ari Aster,A.J. Moss:Ann Dowd:Austin R. Grant:Brock McKinney:Chad Wright:Gerry Garcia:Heidi Méndez:Jarrod Phillips:Jason Miyagi:John Forker:Lorenzo Silva:Mallory Bechtel:Marilyn Miller:Moises L. Tovar:Rachelle Hardy:Shane Morrisun:Zachary Arthur
445,Listen to Me Marlon,Stevan Riley,Marlon Brando
446,Gideon's Army,null,null
447,Serpico (re-release),Sidney Lumet,Albert Henderson:Allan Rich:Barbara Eda-Young:Biff McGuire:Cornelia Sharpe:Damien Leake:Edward Grover:Hank Garrett:Jack Kehoe:John Medici:Joseph Bova:Norman Ornellas:Tony Roberts
448,Maria Full of Grace,Joshua Marston,Charles Albert Patiño:Evangelina Morales:Fabricio Suarez:Jaime Osorio Gómez:Johanna Andrea Mora:John Álex Toro:Juana Guarderas:Mateo Suarez:Rodrigo Sánchez Borhorquez:Victor Macias:Virgina Ariza:Wilson Guerrero:Yenny Paola Vega
449,Fateless,null,null
450,Happy as Lazzaro,Alice Rohrwacher,Alessandro Genovesi:Annunziata Capretto:Antonio Salines:Carlo Massimino:Daria Pascal Attolini:Davide Denci:Ettore Scarpa:Gala Othero Winter:Giulia Caccavello:Leonardo Nigro:Luca Chikovani
451,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Errol Morris,Barry Goldwater:Curtis LeMay:Errol Morris:Franklin Delano Roosevelt:Harry Reasoner:Lyndon Johnson:Nikita Khrushchev:Woodrow Wilson
452,Uncle Boonmee Who Can Recall His Past Lives,null,null
453,Brokeback Mountain,Ang Lee,Anna Faris:Anne Hathaway:David Harbour:David Trimble:Kate Mara:Lachlan Mackintosh:Larry Reese:Linda Cardellini:Marty Antonini:Randy Quaid:Valerie Planche:Víctor Reyes
454,Cemetery of Splendor,Apichatpong Weerasethakul,Apinya Unphanlam:Banlop Lomnoi:Bhattaratorn Senkraigul:Boonyarak Bodlakorn:Jarinpattra Rueangram:Jenjira Jansuda:Jenjira Pongpas:Kammanit Sansuklerd:Petcharat Chaiburi:Pongsadhorn Lertsukon:Richard Abramson:Sakda Kaewbuadee:Sasipim Piwansenee:Sujittraporn Wongsrikeaw:Tawatchai Buawat:Wacharee Nagvichien
455,The Kid with a Bike,Jean-Pierre Dardenne Luc Dardenne,Batiste Sornin:Carl Jadot:Cécile De France:Claudy Delfosse:Egon Di Mateo:Fabrizio Rongione:Frédéric Dussenne:Hicham Slaoui:Jean-Michel Balthazar:Jérémie Renier:Myriem Akeddiou:Olivier Gourmet:Samuel De Rijk:Sandra Raco:Thomas Doret
456,Mutiny on the Bounty,Frank Lloyd,Byron Russell:David Torrence:Mamo Clark:Movita:Percy Waram
457,Spider-Man: Into the Spider-Verse,Bob Persichetti Peter Ramsey Rodney Rothman,Alycia Cooper:Brian Tyree Henry:Chris Pine:Jessica Mikayla Adams:John Mulaney:Kathryn Hahn:Kimiko Glenn:Liev Schreiber:Lily Tomlin:Mahershala Ali:Melanie Haynes:Muneeb Rehman:Natalie Morales:Natalie Morales:Nick Jaine:Nicolas Cage:Shameik Moore
458,The Wicker Man,Robin Hardy,Barbara Rafferty:Ian Campbell:Leslie Blackater:Peter Brewis:Roy Boyd
459,Love & Friendship,Whit Stillman,Chloë Sevigny:Conor Lambert:Conor MacNeill:Emma Greenwell:Frank Prendergast:James Fleet:Jemma Redgrave:Jenn Murray:Jordan Waller:Justin Edwards:Kate Beckinsale:Kelly Campbell:Lochlainn O'Mearain:Morfydd Clark:Ross Mac Mahon:Sophie Radermacher:Stephen Fry:Tom Bennett:Xavier Samuel
460,Particle Fever,Mark Levinson,Albert de Roeck:Andy Cohen:Asmina Arvanitaki:Christophe Clement:David Kaplan:Fabiola Gianotti:James Beacham:Jed Biesiada:Katherine Copic:Kyle Cranmer:Martin Aleksa:Mike Lamont:Monica Dunford:Nima Arkani-Hamed:Savas Dimopoulos
461,Tarnation,Jonathan Caouette,Adolph Davis:Dagon James:David Leblanc:David Sanin Paz:Greg Ayres:Joshua Williams:Michael Cox:Michael Mouton:Renee Leblanc:Rosemary Davis:Stacey Mowery:Steve Caouette:Vanda Stovall:Vivian Kalinov
462,Microcosmos,null,null
463,Murderball,Dana Adam Shapiro Henry Alex Rubin,Andy Cohn:Bob Lujano:Christopher Igoe:Dave Willsie:Joe Bishop:Kevin Orr:Scott Hogsett
464,Life Itself,Steve James Steve James,A.O. Scott:Ava DuVernay:Chaz Ebert:Errol Morris:Gene Siskel:Marlene Iglitzen:Marlene Siskel:Martin Scorsese:Ramin Bahrani:Roger Ebert:Stephen Stanton:Werner Herzog:William Nack
465,The Shape of Water,Guillermo del Toro,Allegra Fulton:Amanda Smith:Cyndy Day:David Hewlett:Doug Jones:Dru Viergever:Evgeny Akimov:Jayden Greig:John Kapelos:Lauren Lee Smith:Madison Ferguson:Martin Roach:Marvin Kaye:Maxine Grossman:Michael Shannon:Michael Stuhlbarg:Morgan Kelly:Nick Searcy:Octavia Spencer:Richard Jenkins:Sally Hawkins
466,Rewind,Sasha Joseph Neulinger,null
467,Shine,Scott Hicks,Alex Rafalowicz:Chris Haywood:Danielle Cox:Gordon Poole:John Cousins:Justin Braine:Marta Kaczmarek:Nicholas Bell:Noah Taylor:Paul Linkson:Randall Berger:Rebecca Gooden:Sonia Todd
468,Bisbee '17,Robert Greene,Annie Graeme-Larkin:Laurie McKenna:Mel Ray:Richard Hodges:Steve Ray:Sue Ray
469,Grizzly Man,Werner Herzog,Carol Dexter:David Letterman:Franc G. Fallico:Jewel Palovak:Kathleen Parker:Marc Gaede:Marnie Gaede:Sam Egli:Sven Haakanson Jr.:Val Dexter:Warren Queeney:Werner Herzog:Willy Fulton
470,Adam's Rib,George Cukor,Bonnie Bannon:Charles Bastin:Elizabeth Flournoy:Polly Moran:Will Wright
471,Gregory Crewdson: Brief Encounters,null,null
472,Moneyball,Bennett Miller,Adrian Bellani:Chris Pratt:Erin Pickett:Glenn Morshower:James Shanklin:Kathryn Morris:Keith Middlebrook:Olivia Dudley:Philip Seymour Hoffman:Sergio Garcia:Stephen Bishop:Tammy Blanchard
473,The Autobiography of Nicolae Ceausescu,Andrei Ujica,Charles de Gaulle:Edward Gierek:Elena Ceausescu:Erich Honecker:Jimmy Carter:Kim Ir-Sen:Leonid Brezhnev:Mao Zedong:Mikhail Gorbachev:Nicolae Ceausescu:Prince Philip:Queen Elizabeth II:Richard Nixon:Wladyslaw Gomulka:Wojciech Jaruzelski
474,All About My Mother,Pedro Almodóvar,Antonia San Juan:Candela Peña:Carlos Lozano:Carmen Balagué:Eloy Azorín:Fernando Fernán Gómez:Fernando Guillén:José Luis Torrijo:Juan José Otegui:Manuel Morón:Penélope Cruz:Rosa Maria Sardà:Toni Cantó
475,The English Patient,Anthony Minghella,Clive Merrison:Colin Firth:Geordie Johnson:Hichem Rostom:Julian Wadham:Jürgen Prochnow:Kevin Whately:Naveen Andrews:Nino Castelnuovo:Peter Rühring:Torri Higginson
476,The Duke of Burgundy,Peter Strickland,Chiara D'Anna:Eszter Tompa:Eugenia Caruso:Fatma Mohamed:Kata Bartsch:Monica Swinn:Sidse Babett Knudsen:Zita Kraszkó
477,My Golden Days,null,null
478,Nebraska,Alexander Payne,Angela McEwan:Anthony G. Schmidt:Bob Odenkirk:Bruce Dern:Dennis McCoig:Devin Ratray:Elizabeth Moore:Gelndora Stitt:June Squibb:Kevin Kunkel:Mary Louise Wilson:Melinda Simonsen:Missy Doty:Rance Howard:Ronald Vosta:Stacy Keach:Stephen Clayton:Tim Driscoll:Will Forte
479,What the Constitution Means to Me,Marielle Heller,null
480,A Tale of Two Cities,null,null
481,Force Majeure,Ruben Östlund,Adrian Heinisch:Brady Corbet:Clara Wettergren:Fanni Metelius:Franco Moscon:Jakob Granqvist:Johannes Kuhnke:Johannes Moustos:Jorge Lattof:Julie Roumogoux:Karin Myrenberg:Karl Pincon:Kristofer Hivju:Lisa Loven Kongsli:Malin Dahl:Michael Breitenberger:Peter Gaunt:Vincent Wettergren
482,Tampopo,Jûzô Itami,Fukumi Kuroda:Hideji Ôtaki:Kinzô Sakura:Kôji Yakusho:Mario Abe:Masahiko Tsugawa:Rikiya Yasuoka:Sen Hara:Setsuko Shinoi:Yoriko Douguchi:Yoshi Katô:Yoshihiro Kato
483,Blow Out,Brian De Palma,Cindy Manion:Curt May:Deborah Everton:J. Patrick McNamara:John Aquino:John McMartin:Lori-Nan Engler:Missy Cleveland:Missy Crutchfield:Peter Boyden:Roger Wilson
484,Diane,Kent Jones,Cara Yeates:David Tuttle:Jenny Kirlin:Joe James:Laura Knight:Marcia Haufrecht:Mike Hartman:Patrick Husted:Ray Iannicelli
485,The Magician,Ingmar Bergman,Åke Fridell:Axel Düberg:Oscar Ljung:Sif Ruud:Ulla Sjöblom
486,The Thin Man,W.S. Van Dyke,Asta:Cyril Thornton:Edward Brophy:Edward Ellis:Natalie Moorhead
487,Russian Ark,Aleksandr Sokurov,Aleksandr Chaban:Alla Osipenko:Artyom Strelnikov:David Giorgobiani:Leonid Mozgovoy:Lev Yeliseyev:Maksim Sergeyev:Mariya Kuznetsova:Mikhail Piotrovsky:Natalya Nikulenko:Oleg Khmelnitsky:Sergei Dontsov:Tamara Kurenkova:Yelena Rufanova:Yelena Spiridonova
488,Point Blank,John Boorman,Kathleen Freeman:Lawrence Hauben:Roberta Haynes:Susan Holloway:Victor Creatore
489,Lincoln,Steven Spielberg,Adam Driver:Bruce McGill:Daniel Day-Lewis:David Costabile:David Oyelowo:David Strathairn:Hal Holbrook:Jackie Earle Haley:James Spader:Jared Harris:John Hawkes:Joseph Cross:Joseph Gordon-Levitt:Julie White:Lee Pace:Michael Stuhlbarg:Peter McRobbie:Sally Field:Tim Blake Nelson:Tommy Lee Jones:Walton Goggins
490,The Wolf House,Cristóbal León Joaquín Cociña,null
491,An Elephant Sitting Still,Bo Hu,Binyuan Li:Danyi Li:Qing Li:Suyun Li:Yixin Kong
492,Room,Lenny Abrahamson,Amanda Brugel:Brad Wietersen:Brie Larson:Cas Anvar:Chantelle Chung:Jack Fulton:Jacob Tremblay:Jee-Yun Lee:Joan Allen:Joe Pingue:Justin Mader:Kate Drummond:Matt Gordon:Megan Park:Randal Edwards:Sandy McMaster:Sean Bridgers:Tom McCamus:Wendy Crewson:William H. Macy:Zarrin Darnell-Martin
493,The Tillman Story,Amir Bar-Lev,Pat Tillman:Richard Tillman
494,The Wind Will Carry Us,null,null
495,The Remains of the Day,James Ivory,Abigail Hopkins:Ben Chaplin:Caroline Hunt:Christopher Reeve:Hugh Grant:James Fox:John Haycraft:Patrick Godfrey:Paula Jacobs:Peter Cellier:Peter Halliday:Peter Vaughan:Steve Dibben
496,"sex, lies, and videotape",Steven Soderbergh,Alexandra Root:David Foil:Earl T. Taylor:Laura San Giacomo:Peter Gallagher:Ron Vawter:Steven Brill
